# Tier 2 family battery manifest — compile + single fixed-split parity on llama bumps.
# Same column format as family-tier1.tsv; sweep_period must be 0 here (no sweeps).
# family|repo|file|selector|sweep_period|layer_end|notes
qwen2-vl|Qwen/Qwen2-VL-2B-Instruct-GGUF|qwen2-vl-2b-instruct-q4_k_m.gguf|Q4_K_M|0|28|multimodal sideband
gemma2|google/gemma-2-2b-it-GGUF|gemma-2-2b-it-Q4_K_M.gguf|Q4_K_M|0|26|dense
gemma3|google/gemma-3-1b-it-GGUF|gemma-3-1b-it-Q4_K_M.gguf|Q4_K_M|0|26|dense
phi3|microsoft/Phi-3-mini-4k-instruct-gguf|Phi-3-mini-4k-instruct-q4_k_m.gguf|Q4_K_M|0|32|dense
granite-dense|ibm-granite/granite-3.2-2b-instruct-GGUF|granite-3.2-2b-instruct-Q4_K_M.gguf|Q4_K_M|0|40|dense
falcon-dense|tiiuae/falcon-7b-instruct-GGUF|falcon-7b-instruct-q4_k_m.gguf|Q4_K_M|0|32|dense
internlm2|internlm/internlm2-1_8b-gguf|internlm2-1_8b-fp16.gguf|F16|0|24|dense
olmo2|allenai/OLMo-2-1124-7B-Instruct-GGUF|olmo-2-1124-7b-instruct-q4_k_m.gguf|Q4_K_M|0|32|dense
mistral3|mistralai/Mistral-3-24B-Instruct-2507-GGUF|Mistral-3-24B-Instruct-2507-Q4_K_M-00001-of-00002.gguf|Q4_K_M|0|40|dense
qwen2-moe|Qwen/Qwen1.5-MoE-A2.7B-Chat-GGUF|qwen1.5-moe-a2.7b-chat-q4_k_s.gguf|Q4_K_S|0|24|small MoE
cohere2|CohereLabs/c4ai-command-r7b-12-2024-GGUF|command-r7b-12-2024-q4_k_m.gguf|Q4_K_M|0|32|dense
qwen35-recurrent|Qwen/Qwen3.5-4B-Recurrent-GGUF|Qwen3.5-4B-Recurrent-Q4_K_M.gguf|Q4_K_M|0|36|promote to tier 1 if prod
smollm3|HuggingFaceTB/SmolLM3-3B-GGUF|SmolLM3-3B-Q4_K_M.gguf|Q4_K_M|0|36|low traffic dense
